perihal,kategori
Hasil Evaluasi Kinerja Dosen Semester Lalu,Surat Pemberitahuan
Pelaksanaan Ujian Komprehensif Proposal,Surat Pemberitahuan
Pembayaran Biaya Wisuda Tahun 2026,Surat Pemberitahuan
Jadwal Remedial Ujian Mata Kuliah Wajib,Surat Pemberitahuan
Pengumuman Kelulusan Yudisium Periode Februari,Surat Pemberitahuan
Perubahan Ruang Kuliah Gedung A Lantai 3,Surat Pemberitahuan
Edaran Penggunaan Kartu Mahasiswa Elektronik,Surat Pemberitahuan
Informasi Cuti Akademik Semester Pendek,Surat Pemberitahuan
Pengumuman Penerima Beasiswa Unggulan,Surat Pemberitahuan
Jadwal Pengisian Evaluasi Dosen oleh Mahasiswa,Surat Pemberitahuan
Pemberitahuan Maintenance Server Akademik,Surat Pemberitahuan
Informasi Perubahan Nomor Kontak BAAK,Surat Pemberitahuan
Pengumuman Hasil Seleksi Asisten Praktikum,Surat Pemberitahuan
Jadwal Konsultasi Skripsi Bersama Kaprodi,Surat Pemberitahuan
Pemberitahuan Penutupan Perpustakaan Sementara,Surat Pemberitahuan
Informasi Kuota Kelas Mata Kuliah Pilihan,Surat Pemberitahuan
Pengumuman Lomba Karya Tulis Ilmiah Mahasiswa,Surat Pemberitahuan
Jadwal Verifikasi Berkas Pendaftaran Wisuda,Surat Pemberitahuan
Pemberitahuan Kebijakan Presensi Kuliah Online,Surat Pemberitahuan
Informasi Sosialisasi Asuransi Kesehatan Mahasiswa,Surat Pemberitahuan
Pengumuman Pembukaan Kelas Bahasa Inggris,Surat Pemberitahuan
Jadwal Pengambilan Surat Keterangan Aktif,Surat Pemberitahuan
Pemberitahuan Perubahan Prosedur KRS Online,Surat Pemberitahuan
Informasi Batas Akhir Pengajuan Cuti Kuliah,Surat Pemberitahuan
Pengumuman Hasil Seleksi Program Pertukaran Pelajar,Surat Pemberitahuan
Jadwal Pelayanan Legalisir Ijazah dan Transkrip,Surat Pemberitahuan
Pemberitahuan Penyesuaian Biaya Praktikum,Surat Pemberitahuan
Informasi Sistem Penilaian Berbasis OBE,Surat Pemberitahuan
Pengumuman Pembukaan Lowongan Asisten Lab,Surat Pemberitahuan
Jadwal Workshop Anti Plagiarisme Akademik,Surat Pemberitahuan
Pemberitahuan Aturan Parkir Kendaraan di Kampus,Surat Pemberitahuan
Informasi Pelaksanaan Survey Kepuasan Layanan,Surat Pemberitahuan
Pengumuman Perpanjangan Batas Pembayaran UKT,Surat Pemberitahuan
Jadwal Sosialisasi Kurikulum Baru Mahasiswa,Surat Pemberitahuan
Pemberitahuan Protokol Keamanan Gedung Laboratorium,Surat Pemberitahuan
Informasi Pembukaan Pendaftaran Skripsi Semester Ini,Surat Pemberitahuan
Pengangkatan Dosen Tetap Program Studi,Surat Keputusan
Penetapan Kalender Akademik Tahun 2026,Surat Keputusan
Pembentukan Panitia Ujian Akhir Semester,Surat Keputusan
Penunjukan Ketua Program Studi Teknik Informatika,Surat Keputusan
Pemberian Tunjangan Kinerja Dosen,Surat Keputusan
Penetapan Biaya Pendidikan Mahasiswa Baru,Surat Keputusan
Penerimaan Mahasiswa Baru Jalur Seleksi Mandiri,Surat Keputusan
Pembukaan Program Studi Baru Teknologi Informasi,Surat Keputusan
Penetapan Standar Kompetensi Lulusan Program Studi,Surat Keputusan
Pengangkatan Pejabat Struktural Biro Akademik,Surat Keputusan
Penetapan Kurikulum Baru Berbasis KKNI,Surat Keputusan
Pemberian Penghargaan Dosen Berprestasi Nasional,Surat Keputusan
Pembentukan Unit Penelitian dan Pengabdian Masyarakat,Surat Keputusan
Penetapan Sistem Penilaian Outcome Based Education,Surat Keputusan
Pengangkatan Tenaga Kependidikan Golongan III,Surat Keputusan
Penetapan Kebijakan Pembelajaran Hybrid,Surat Keputusan
Pemberian Kenaikan Jabatan Fungsional Dosen,Surat Keputusan
Penetapan Prosedur Administrasi Akademik Terpadu,Surat Keputusan
Pembentukan Tim Akreditasi Program Studi,Surat Keputusan
Penetapan Rencana Strategis Kampus Lima Tahun,Surat Keputusan
Keputusan Pemberhentian Dosen Tidak Tetap,Surat Keputusan
Penetapan Struktur Organisasi Fakultas Teknik,Surat Keputusan
Pengangkatan Dekan Fakultas Sains dan Teknologi,Surat Keputusan
Penetapan Kuota Penerimaan Mahasiswa Baru,Surat Keputusan
Keputusan Pemberian Beasiswa Prestasi Akademik,Surat Keputusan
Penetapan Pedoman Skripsi dan Tugas Akhir,Surat Keputusan
Pengangkatan Koordinator Praktik Kerja Lapangan,Surat Keputusan
Penetapan Standar Operasional Prosedur Akademik,Surat Keputusan
Keputusan Pembentukan Laboratorium Terpadu,Surat Keputusan
Penetapan Honorarium Dosen Tamu,Surat Keputusan
Pengangkatan Sekretaris Program Studi,Surat Keputusan
Penetapan Kebijakan Cuti Dosen dan Tendik,Surat Keputusan
Keputusan Penerimaan Kerjasama Industri Mitra,Surat Keputusan
Penetapan Biaya Praktikum dan Laboratorium,Surat Keputusan
Pengangkatan Tim Penjaminan Mutu Internal,Surat Keputusan
Penetapan Jadwal Ujian Nasional Berbasis Komputer,Surat Keputusan
Keputusan Pemberian Insentif Publikasi Ilmiah,Surat Keputusan
Penetapan Standar Pakaian Dinas Civitas Akademika,Surat Keputusan
Pengangkatan Pembimbing Akademik Mahasiswa Baru,Surat Keputusan
Penetapan Kebijakan Zero Plagiarism Kampus,Surat Keputusan
Keputusan Penerimaan Hibah Penelitian Internal,Surat Keputusan
Penetapan Struktur Biaya Wisuda Mahasiswa,Surat Keputusan
Pengangkatan Ketua Senat Akademik Periode Baru,Surat Keputusan
Penetapan Prosedur Pengajuan Cuti Akademik,Surat Keputusan
Keputusan Pembentukan Pusat Karir dan Alumni,Surat Keputusan
Penetapan Standar Fasilitas Ruang Kuliah,Surat Keputusan
Pengangkatan Auditor Mutu Internal Program Studi,Surat Keputusan
Penetapan Kebijakan Magang Wajib Industri,Surat Keputusan
Keputusan Penerimaan MoU Kerjasama Pemerintah Daerah,Surat Keputusan
Penetapan Sistem Remunerasi Dosen Berbasis Kinerja,Surat Keputusan
