perihal,kategori
Informasi Sistem Penilaian Berbasis OBE,Pemberitahuan
Pengumuman Pembukaan Lowongan Asisten Lab,Pemberitahuan
Jadwal Workshop Anti Plagiarisme Akademik,Pemberitahuan
Pemberitahuan Aturan Parkir Kendaraan di Kampus,Pemberitahuan
Informasi Pelaksanaan Survey Kepuasan Layanan,Pemberitahuan
Pengumuman Perpanjangan Batas Pembayaran UKT,Pemberitahuan
Jadwal Sosialisasi Kurikulum Baru Mahasiswa,Pemberitahuan
Pemberitahuan Protokol Keamanan Gedung Laboratorium,Pemberitahuan
Informasi Pembukaan Pendaftaran Skripsi Semester Ini,Pemberitahuan
Pengangkatan Dosen Tetap Program Studi,Keputusan
Penetapan Kalender Akademik Tahun 2026,Keputusan
Pembentukan Panitia Ujian Akhir Semester,Keputusan
Penunjukan Ketua Program Studi Teknik Informatika,Keputusan
Pemberian Tunjangan Kinerja Dosen,Keputusan
Penetapan Biaya Pendidikan Mahasiswa Baru,Keputusan
Penerimaan Mahasiswa Baru Jalur Seleksi Mandiri,Keputusan
Pembukaan Program Studi Baru Teknologi Informasi,Keputusan
Penetapan Standar Kompetensi Lulusan Program Studi,Keputusan
Pengangkatan Pejabat Struktural Biro Akademik,Keputusan
Penetapan Kurikulum Baru Berbasis KKNI,Keputusan
Pemberian Penghargaan Dosen Berprestasi Nasional,Keputusan
Pembentukan Unit Penelitian dan Pengabdian Masyarakat,Keputusan
Penetapan Sistem Penilaian Outcome Based Education,Keputusan
Pengangkatan Tenaga Kependidikan Golongan III,Keputusan
Penetapan Kebijakan Pembelajaran Hybrid,Keputusan
Pemberian Kenaikan Jabatan Fungsional Dosen,Keputusan
Penetapan Prosedur Administrasi Akademik Terpadu,Keputusan
Pembentukan Tim Akreditasi Program Studi,Keputusan
Penetapan Rencana Strategis Kampus Lima Tahun,Keputusan
Keputusan Pemberhentian Dosen Tidak Tetap,Keputusan
Penetapan Struktur Organisasi Fakultas Teknik,Keputusan
Pengangkatan Dekan Fakultas Sains dan Teknologi,Keputusan
Penetapan Kuota Penerimaan Mahasiswa Baru,Keputusan
Keputusan Pemberian Beasiswa Prestasi Akademik,Keputusan
Penetapan Pedoman Skripsi dan Tugas Akhir,Keputusan
Pengangkatan Koordinator Praktik Kerja Lapangan,Keputusan
Penetapan Standar Operasional Prosedur Akademik,Keputusan
Keputusan Pembentukan Laboratorium Terpadu,Keputusan
Penetapan Honorarium Dosen Tamu,Keputusan
Pengangkatan Sekretaris Program Studi,Keputusan
Penetapan Kebijakan Cuti Dosen dan Tendik,Keputusan
Keputusan Penerimaan Kerjasama Industri Mitra,Keputusan
Penetapan Biaya Praktikum dan Laboratorium,Keputusan
Pengangkatan Tim Penjaminan Mutu Internal,Keputusan
Penetapan Jadwal Ujian Nasional Berbasis Komputer,Keputusan
Keputusan Pemberian Insentif Publikasi Ilmiah,Keputusan
Penetapan Standar Pakaian Dinas Civitas Akademika,Keputusan
Pengangkatan Pembimbing Akademik Mahasiswa Baru,Keputusan
Penetapan Kebijakan Zero Plagiarism Kampus,Keputusan
Keputusan Penerimaan Hibah Penelitian Internal,Keputusan
Penetapan Struktur Biaya Wisuda Mahasiswa,Keputusan
Pengangkatan Ketua Senat Akademik Periode Baru,Keputusan
Penetapan Prosedur Pengajuan Cuti Akademik,Keputusan
Keputusan Pembentukan Pusat Karir dan Alumni,Keputusan
Penetapan Standar Fasilitas Ruang Kuliah,Keputusan
Pengangkatan Auditor Mutu Internal Program Studi,Keputusan
Penetapan Kebijakan Magang Wajib Industri,Keputusan
Keputusan Penerimaan MoU Kerjasama Pemerintah Daerah,Keputusan
Penetapan Sistem Remunerasi Dosen Berbasis Kinerja,Keputusan
